username,follower_count,avg_likes,type,person_company,tags,hits
cristiano,,,sports,person,,comedy,
arianagrande,,,music,person,,model,
therock,,,music,person,,art,
kyliejenner,,,beauty,person,,cartoon,
selenagomez,,,music,person,,comic,
kimkardashian,,,tv,person,,lifestyle,
leomessi,,,sports,person,,beauty,
beyonce,,,music,person,,fashion,
justinbieber,,,music,person,,movies,
natgeo,,,science,company,,tv,
neymarjr,,,sports,person,,politics,
taylorswift,,,music,person,,,
kendalljenner,,,tv,person,,,
jlo,,,music,person,,,
nickiminaj,,,music,person,,,
khloekardashian,,,tv,person,,,
nike,,,apparel,company,,,
mileycyrus,,,music,person,,,
katyperry,,,music,person,,,
kourtneykardashian,,,tv,person,,,
kevinhart4real,,,comedy,person,,,
ddlovato,,,music,person,,,
theellenshow,,,tv,company,,,
realmadrid,,,sports,company,,,
fcbarcelona,,,sports,company,,,
badgalriri,,,music,person,,,
virat.kohli,,,film,person,,,
zendaya,,,film,person,,,
iamcardib,,,music,person,,,
kingjames,,,sports,person,,,
chrisbrownofficial,,,music,person,,,
champagnepapi,,,music,person,,,
victoriassecret,,,apparel,company,,,
Shakira,,,music,person,,,
billieeilish,,,music,person,,,
vindiesel,,,film,person,,,
davidbeckham,,,sports,person,,,
championsleague,,,sports,company,,,
nasa,,,science,company,,,
gigihadid,,,misc,person,,,
justintimberlake,,,music,person,,,
emmawatson,,,music,person,,,
priyankachopra,,,film,person,,,
shraddhakapoor,,,film,person,,,
shawnmendes,,,music,person,,,
9gag,,,comedy,company,,,
maluma,,,music,person,,,
dualipa,,,music,person,,,
snoopdogg,,,music,person,,,
deepikapadukone,,,misc,person,,,
ronaldinho,,,sports,person,,,
nba,,,sports,company,,,
camila_cabello,,,music,person,,,
aliaabhatt,,,misc,person,,,
willsmith,,,film,person,,,
narendramodi,,,misc,person,,,
anitta,,,person,,,
marvel,,,film,company,,,
hudabeauty,,,company,,,
robertdowneyjr,,,film,person,,,
leonardodicaprio,,,film,person,,,
jamesrodriguez10,,,sports,person,,,
nehakakkar,,,misc,person,,,
akshayumar,,,misc,person,,,
raffinagita1717,,,misc,person,,,
jacqueline143,,,misc,person,,,
whinderssonnunes,,,misc,person,,,
marcelotwelve,,,sports,person,,,
chrishemsworth,,,film,person,,,
iamzlatanibrahimovic,,,sports,person,,,
ayutingting92,,,misc,person,,,
katarinakaif,,,misc,person,,,
ladygaga,,,music,person,,,
JBalvin,,,misc,person,,,
zacefron,,,film,person,,,
nikefootball,,,sports,company,,,
garethbale11,,,misc,person,,,
juventus,,,sports,company,,,
anushkasharma,,,person,,,
5-minute-crafts-girly-insta,,,misc,company,,,
tatawerneck,,,misc,person,,,
michelleobama,,,politics,person,,,
lelepons,,,comedy,person,,,
paulpogba,,,misc,person,,,
gucci,,,apparel,company,,,
premierleague,,,sports,company,,,
sunnyleone,,,misc,person,,,
daddyyankee,,,music,person,,,
natgeotravel,,,science,company,,,
dishapatani,,,misc,person,,,
lalalalisa_m,,,misc,person,,,
paulodybala,,,misc,person,,,
brunamarquezine,,,misc,person,,,
luisvitton,,,apparel,company,,,
vanessahudsen,,,misc,person,,,
adele,,,music,person,,,
buzzfeedtasty,,,misc,company,,,
lusisuarez9,,,misc,person,,,